von/nach;CDU;Linke;SPD;FDP;Grüne;AfD;Andere;Nichtwähler
CDU;;-3000;13000;-86000;-107000;-190000;-16000;-15000
Linke;3000;;12000;2000;-4000;-22000;-3000;9000
SPD;-13000;-12000;;-35000;-157000;-90000;-19000;-61000
FDP;86000;-2000;35000;;13000;-18000;4000;43000
Grüne;107000;4000;157000;-13000;;-70000;-8000;129000
AfD;190000;22000;90000;18000;70000;;151000;209000
Andere;16000;3000;19000;-4000;8000;-151000;;22000
Nichtwähler;15000;-9000;61000;-43000;-129000;-209000;-22000;
