von/nach;CDU;Linke;SPD;FDP;Grüne;AfD;Andere;Nichtwähler
CDU;;-1000;14000;-13000;21000;-50000;-4000;58000
Linke;1000;;-3000;0;6000;-12000;0;6000
SPD;-14000;3000;;-6000;90000;-37000;1000;54000
FDP;13000;0;6000;;12000;-8000;1000;20000
Grüne;-21000;-6000;-90000;-12000;;-5000;-13000;-12000
AfD;50000;12000;37000;8000;5000;;45000;80000
Andere;4000;0;-1000;-1000;13000;-45000;;11000
Nichtwähler;-58000;-6000;-54000;-20000;12000;-80000;-11000;
