GKZ;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;Hofer;%;Van der Bellen;%
G30401;Wiener Neustadt;31.107;19.523;568;18.955;9.609;50,69;9.346;49,31
G30499;Wahlkarten - Wiener Neustadt(Stadt);0;2.942;59;2.883;1.221;42,35;1.662;57,65
G30500;Amstetten;90.297;72.210;3.866;68.344;35.464;51,89;32.880;48,11
G30501;Allhartsberg;1.675;1.282;78;1.204;628;52,16;576;47,84
G30502;Amstetten;17.655;11.922;498;11.424;6.054;52,99;5.370;47,01
G30503;Ardagger;2.729;2.057;142;1.915;1.104;57,65;811;42,35
G30504;Aschbach-Markt;2.894;1.983;110;1.873;1.091;58,25;782;41,75
G30506;Behamberg;2.648;2.029;132;1.897;1.008;53,14;889;46,86
G30507;Biberbach;1.818;1.381;102;1.279;663;51,84;616;48,16
G30508;Ennsdorf;2.280;1.563;61;1.502;757;50,4;745;49,6
G30509;Ernsthofen;1.774;1.223;66;1.157;597;51,6;560;48,4
G30510;Ertl;1.014;692;54;638;438;68,65;200;31,35
G30511;Euratsfeld;2.068;1.602;113;1.489;876;58,83;613;41,17
G30512;Ferschnitz;1.411;1.049;67;982;566;57,64;416;42,36
G30514;Haag;4.432;2.923;134;2.789;1.344;48,19;1.445;51,81
G30515;Haidershofen;2.918;2.137;115;2.022;992;49,06;1.030;50,94
G30516;Hollenstein an der Ybbs;1.370;965;44;921;476;51,68;445;48,32
G30517;Kematen an der Ybbs;1.948;1.385;72;1.313;723;55,06;590;44,94
G30520;Neuhofen an der Ybbs;2.258;1.566;109;1.457;908;62,32;549;37,68
G30521;Neustadtl an der Donau;1.712;1.247;86;1.161;797;68,65;364;31,35
G30522;Oed-Oehling;1.480;1.042;56;986;573;58,11;413;41,89
G30524;Opponitz;710;523;38;485;270;55,67;215;44,33
G30526;St. Georgen am Reith;449;301;18;283;164;57,95;119;42,05
G30527;St. Georgen am Ybbsfelde;2.183;1.474;75;1.399;826;59,04;573;40,96
G30529;St. Pantaleon-Erla;2.078;1.433;95;1.338;710;53,06;628;46,94
G30530;St. Peter in der Au;4.085;2.827;169;2.658;1.410;53,05;1.248;46,95
G30531;St. Valentin;7.462;5.111;236;4.875;2.292;47,02;2.583;52,98
G30532;Seitenstetten;2.607;1.902;102;1.800;940;52,22;860;47,78
G30533;Sonntagberg;3.172;2.174;118;2.056;1.060;51,56;996;48,44
G30534;Strengberg;1.633;1.116;73;1.043;524;50,24;519;49,76
G30536;Viehdorf;1.059;791;58;733;440;60,03;293;39,97
G30538;Wallsee-Sindelburg;1.742;1.139;63;1.076;573;53,25;503;46,75
G30539;Weistrach;1.801;1.252;94;1.158;686;59,24;472;40,76
G30541;Winklarn;1.275;913;72;841;471;56;370;44
G30542;Wolfsbach;1.576;1.071;80;991;590;59,54;401;40,46
G30543;Ybbsitz;2.904;2.093;146;1.947;1.088;55,88;859;44,12
G30544;Zeillern;1.477;1.051;55;996;608;61,04;388;38,96
G30599;Wahlkarten - Amstetten;0;8.991;335;8.656;3.217;37,16;5.439;62,84
G30600;Baden;105.532;82.803;2.972;79.831;40.395;50,6;39.436;49,4
G30601;Alland;1.977;1.336;54;1.282;765;59,67;517;40,33
G30602;Altenmarkt an der Triesting;1.561;1.102;75;1.027;599;58,33;428;41,67
G30603;Bad Vöslau;8.612;5.790;215;5.575;2.497;44,79;3.078;55,21
G30604;Baden;18.855;12.203;405;11.798;4.963;42,07;6.835;57,93
G30605;Berndorf;6.488;4.308;185;4.123;2.283;55,37;1.840;44,63
G30607;Ebreichsdorf;7.867;5.355;136;5.219;2.975;57;2.244;43
G30608;Enzesfeld-Lindabrunn;3.269;2.265;68;2.197;1.178;53,62;1.019;46,38
G30609;Furth an der Triesting;663;480;21;459;290;63,18;169;36,82
G30612;Günselsdorf;1.324;956;43;913;558;61,12;355;38,88
G30613;Heiligenkreuz;1.105;776;38;738;377;51,08;361;48,92
G30614;Hernstein;1.257;986;71;915;501;54,75;414;45,25
G30615;Hirtenberg;1.648;1.193;47;1.146;665;58,03;481;41,97
G30616;Klausen-Leopoldsdorf;1.266;800;28;772;467;60,49;305;39,51
G30618;Kottingbrunn;5.658;3.874;128;3.746;1.962;52,38;1.784;47,62
G30620;Leobersdorf;3.593;2.521;91;2.430;1.322;54,4;1.108;45,6
G30621;Mitterndorf an der Fischa;1.735;1.156;34;1.122;718;63,99;404;36,01
G30623;Oberwaltersdorf;3.187;2.158;73;2.085;1.047;50,22;1.038;49,78
G30625;Pfaffstätten;2.590;1.907;70;1.837;746;40,61;1.091;59,39
G30626;Pottendorf;5.119;3.487;110;3.377;1.961;58,07;1.416;41,93
G30627;Pottenstein;2.162;1.449;58;1.391;702;50,47;689;49,53
G30629;Reisenberg;1.269;896;37;859;540;62,86;319;37,14
G30631;Schönau an der Triesting;1.575;1.069;49;1.020;578;56,67;442;43,33
G30633;Seibersdorf;1.146;843;41;802;496;61,85;306;38,15
G30635;Sooß;795;589;26;563;305;54,17;258;45,83
G30636;Tattendorf;1.069;787;35;752;419;55,72;333;44,28
G30637;Teesdorf;1.391;1.072;51;1.021;530;51,91;491;48,09
G30639;Traiskirchen;13.088;9.399;328;9.071;4.871;53,7;4.200;46,3
G30641;Trumau;2.578;1.871;81;1.790;950;53,07;840;46,93
G30645;Weissenbach an der Triesting;1.308;932;38;894;522;58,39;372;41,61
G30646;Blumau-Neurißhof;1.377;988;32;956;629;65,79;327;34,21
G30699;Wahlkarten - Baden;0;10.255;304;9.951;3.979;39,99;5.972;60,01
G30700;Bruck an der Leitha;33.033;26.139;1.130;25.009;14.386;57,52;10.623;42,48
G30701;Au am Leithaberge;775;564;21;543;403;74,22;140;25,78
G30702;Bad Deutsch-Altenburg;1.170;810;41;769;515;66,97;254;33,03
G30703;Berg;513;390;30;360;198;55;162;45
G30704;Bruck an der Leitha;5.882;4.046;163;3.883;2.114;54,44;1.769;45,56
G30706;Enzersdorf an der Fischa;2.525;1.833;77;1.756;977;55,64;779;44,36
G30708;Göttlesbrunn-Arbesthal;1.111;791;31;760;504;66,32;256;33,68
G30709;Götzendorf an der Leitha;1.537;1.118;51;1.067;543;50,89;524;49,11
G30710;Hainburg a.d. Donau;3.773;2.479;87;2.392;1.499;62,67;893;37,33
G30711;Haslau-Maria Ellend;1.449;1.047;31;1.016;544;53,54;472;46,46
G30712;Höflein;989;759;55;704;463;65,77;241;34,23
G30713;Hof am Leithaberge;1.171;899;43;856;567;66,24;289;33,76
G30715;Hundsheim;458;347;20;327;188;57,49;139;42,51
G30716;Mannersdorf am Leithagebirge;2.980;2.092;84;2.008;1.046;52,09;962;47,91
G30718;Petronell-Carnuntum;982;677;30;647;359;55,49;288;44,51
G30719;Prellenkirchen;1.155;843;58;785;535;68,15;250;31,85
G30721;Rohrau;1.238;854;55;799;481;60,2;318;39,8
G30722;Scharndorf;902;689;34;655;357;54,5;298;45,5
G30724;Sommerein;1.585;1.124;36;1.088;667;61,31;421;38,69
G30726;Trautmannsdorf an der Leitha;2.269;1.530;83;1.447;813;56,19;634;43,81
G30728;Wolfsthal;569;422;24;398;244;61,31;154;38,69
G30799;Wahlkarten - Bruck an der Leitha;0;2.825;76;2.749;1.369;49,8;1.380;50,2
G30800;Gänserndorf;76.624;59.657;2.586;57.071;33.393;58,51;23.678;41,49
G30801;Aderklaa;148;119;18;101;57;56,44;44;43,56
G30802;Andlersdorf;105;73;6;67;19;28,36;48;71,64
G30803;Angern an der March;2.554;1.828;87;1.741;1.013;58,18;728;41,82
G30804;Auersthal;1.473;1.041;70;971;443;45,62;528;54,38
G30805;Bad Pirawarth;1.349;936;69;867;476;54,9;391;45,1
G30808;Deutsch-Wagram;6.238;4.273;131;4.142;2.237;54,01;1.905;45,99
G30810;Drösing;948;654;35;619;380;61,39;239;38,61
G30811;Dürnkrut;1.806;1.294;70;1.224;792;64,71;432;35,29
G30812;Ebenthal;673;489;32;457;291;63,68;166;36,32
G30813;Eckartsau;962;679;25;654;459;70,18;195;29,82
G30814;Engelhartstetten;1.540;1.076;45;1.031;723;70,13;308;29,87
G30817;Gänserndorf;7.958;5.448;163;5.285;2.862;54,15;2.423;45,85
G30819;Glinzendorf;206;141;12;129;80;62,02;49;37,98
G30821;Groß-Enzersdorf;7.961;5.392;185;5.207;2.874;55,19;2.333;44,81
G30822;Großhofen;60;49;8;41;33;80,49;8;19,51
G30824;Groß-Schweinbarth;994;704;52;652;378;57,98;274;42,02
G30825;Haringsee;914;630;35;595;353;59,33;242;40,67
G30826;Hauskirchen;1.021;699;34;665;431;64,81;234;35,19
G30827;Hohenau an der March;2.151;1.457;56;1.401;880;62,81;521;37,19
G30828;Hohenruppersdorf;754;560;47;513;292;56,92;221;43,08
G30829;Jedenspeigen;905;622;34;588;340;57,82;248;42,18
G30830;Lassee;2.019;1.429;67;1.362;968;71,07;394;28,93
G30831;Leopoldsdorf im Marchfelde;2.037;1.481;42;1.439;858;59,62;581;40,38
G30834;Mannsdorf an der Donau;281;212;15;197;113;57,36;84;42,64
G30835;Marchegg;2.116;1.421;67;1.354;857;63,29;497;36,71
G30836;Markgrafneusiedl;679;474;20;454;291;64,1;163;35,9
G30838;Matzen-Raggendorf;2.115;1.574;62;1.512;881;58,27;631;41,73
G30841;Neusiedl an der Zaya;1.032;735;66;669;451;67,41;218;32,59
G30842;Obersiebenbrunn;1.296;802;39;763;484;63,43;279;36,57
G30844;Orth an der Donau;1.612;1.060;52;1.008;635;63;373;37
G30845;Palterndorf-Dobermannsdorf;1.033;734;42;692;480;69,36;212;30,64
G30846;Parbasdorf;128;96;13;83;48;57,83;35;42,17
G30848;Prottes;1.089;753;31;722;417;57,76;305;42,24
G30849;Raasdorf;422;326;14;312;188;60,26;124;39,74
G30850;Ringelsdorf-Niederabsdorf;1.079;771;56;715;424;59,3;291;40,7
G30852;Schönkirchen-Reyersdorf;1.512;1.066;41;1.025;609;59,41;416;40,59
G30854;Spannberg;777;580;33;547;392;71,66;155;28,34
G30856;Strasshof an der Nordbahn;6.936;4.580;120;4.460;2.549;57,15;1.911;42,85
G30857;Sulz im Weinviertel;1.002;693;44;649;431;66,41;218;33,59
G30858;Untersiebenbrunn;1.355;935;37;898;623;69,38;275;30,62
G30859;Velm-Götzendorf;629;490;22;468;301;64,32;167;35,68
G30860;Weikendorf;1.545;1.096;45;1.051;596;56,71;455;43,29
G30863;Zistersdorf;4.463;3.015;212;2.803;1.805;64,4;998;35,6
G30865;Weiden an der March;747;524;39;485;325;67,01;160;32,99
G30899;Wahlkarten - Gänserndorf;0;6.646;193;6.453;3.254;50,43;3.199;49,57
G30900;Gmünd;31.212;23.971;1.311;22.660;12.780;56,4;9.880;43,6
G30902;Amaliendorf-Aalfang;929;635;51;584;344;58,9;240;41,1
G30903;Brand-Nagelberg;1.359;949;60;889;512;57,59;377;42,41
G30904;Eggern;574;415;20;395;259;65,57;136;34,43
G30906;Eisgarn;577;376;14;362;220;60,77;142;39,23
G30908;Gmünd;4.390;2.770;112;2.658;1.367;51,43;1.291;48,57
G30909;Großdietmanns;1.891;1.289;72;1.217;756;62,12;461;37,88
G30910;Bad Großpertholz;1.137;736;49;687;375;54,59;312;45,41
G30912;Großschönau;1.016;711;54;657;415;63,17;242;36,83
G30913;Moorbad Harbach;583;403;29;374;205;54,81;169;45,19
G30915;Haugschlag;392;273;10;263;178;67,68;85;32,32
G30916;Heidenreichstein;3.430;2.134;113;2.021;1.177;58,24;844;41,76
G30917;Hirschbach;490;358;19;339;171;50,44;168;49,56
G30920;Hoheneich;1.189;806;54;752;378;50,27;374;49,73
G30921;Kirchberg am Walde;1.114;796;39;757;492;64,99;265;35,01
G30925;Litschau;1.980;1.229;72;1.157;719;62,14;438;37,86
G30929;Reingers;547;382;13;369;260;70,46;109;29,54
G30932;St. Martin;949;613;33;580;386;66,55;194;33,45
G30935;Schrems;4.532;2.886;159;2.727;1.506;55,23;1.221;44,77
G30939;Unserfrau-Altweitra;827;598;47;551;341;61,89;210;38,11
G30940;Waldenstein;1.002;678;68;610;393;64,43;217;35,57
G30942;Weitra;2.304;1.506;99;1.407;772;54,87;635;45,13
G30999;Wahlkarten - Gmünd;0;3.428;124;3.304;1.554;47,03;1.750;52,97
G31000;Hollabrunn;41.284;32.580;1.983;30.597;17.505;57,21;13.092;42,79
G31001;Alberndorf im Pulkautal;628;417;20;397;266;67;131;33
G31008;Göllersdorf;2.311;1.641;102;1.539;908;59;631;41
G31009;Grabern;1.192;885;59;826;483;58,47;343;41,53
G31014;Guntersdorf;926;690;62;628;392;62,42;236;37,58
G31015;Hadres;1.425;1.000;86;914;580;63,46;334;36,54
G31016;Hardegg;1.113;840;61;779;509;65,34;270;34,66
G31018;Haugsdorf;1.322;900;52;848;546;64,39;302;35,61
G31019;Heldenberg;1.034;718;47;671;381;56,78;290;43,22
G31021;Hohenwarth-Mühlbach a.M.;1.065;756;47;709;463;65,3;246;34,7
G31022;Hollabrunn;9.103;6.200;351;5.849;3.241;55,41;2.608;44,59
G31025;Mailberg;467;329;22;307;209;68,08;98;31,92
G31026;Maissau;1.639;1.129;74;1.055;603;57,16;452;42,84
G31028;Nappersdorf-Kammersdorf;1.035;712;43;669;421;62,93;248;37,07
G31033;Pernersdorf;836;612;42;570;382;67,02;188;32,98
G31035;Pulkau;1.280;858;77;781;413;52,88;368;47,12
G31036;Ravelsbach;1.334;895;49;846;539;63,71;307;36,29
G31037;Retz;3.623;2.239;133;2.106;1.157;54,94;949;45,06
G31038;Retzbach;832;617;26;591;337;57,02;254;42,98
G31041;Schrattenthal;704;517;37;480;236;49,17;244;50,83
G31042;Seefeld-Kadolz;784;534;22;512;340;66,41;172;33,59
G31043;Sitzendorf an der Schmida;1.788;1.263;85;1.178;668;56,71;510;43,29
G31051;Wullersdorf;1.974;1.337;87;1.250;819;65,52;431;34,48
G31052;Zellerndorf;2.081;1.513;86;1.427;791;55,43;636;44,57
G31053;Ziersdorf;2.788;1.954;120;1.834;1.056;57,58;778;42,42
G31099;Wahlkarten - Hollabrunn;0;4.024;193;3.831;1.765;46,07;2.066;53,93
G31100;Horn;25.872;20.867;1.323;19.544;11.316;57,9;8.228;42,1
G31101;Altenburg;650;444;26;418;259;61,96;159;38,04
G31102;Brunn an der Wild;692;507;37;470;301;64,04;169;35,96
G31103;Burgschleinitz-Kühnring;1.139;774;54;720;465;64,58;255;35,42
G31104;Drosendorf-Zissersdorf;1.022;719;42;677;466;68,83;211;31,17
G31105;Eggenburg;2.866;1.891;89;1.802;933;51,78;869;48,22
G31106;Gars am Kamp;2.949;2.066;116;1.950;1.082;55,49;868;44,51
G31107;Geras;1.122;789;58;731;473;64,71;258;35,29
G31109;Horn;5.269;3.348;174;3.174;1.775;55,92;1.399;44,08
G31110;Irnfritz-Messern;1.190;882;73;809;578;71,45;231;28,55
G31111;Japons;597;418;22;396;291;73,48;105;26,52
G31113;Langau;587;433;34;399;220;55,14;179;44,86
G31114;Meiseldorf;777;521;37;484;284;58,68;200;41,32
G31117;Pernegg;626;487;19;468;305;65,17;163;34,83
G31119;Röhrenbach;440;313;29;284;186;65,49;98;34,51
G31120;Röschitz;877;642;66;576;339;58,85;237;41,15
G31121;Rosenburg-Mold;651;464;30;434;274;63,13;160;36,87
G31123;St. Bernhard-Frauenhofen;1.045;746;48;698;443;63,47;255;36,53
G31124;Sigmundsherberg;1.403;959;56;903;508;56,26;395;43,74
G31129;Weitersfeld;1.343;969;103;866;581;67,09;285;32,91
G31130;Straning-Grafenberg;627;415;30;385;215;55,84;170;44,16
G31199;Wahlkarten - Horn;0;3.080;180;2.900;1.338;46,14;1.562;53,86
G31200;Korneuburg;60.325;48.580;2.067;46.513;22.638;48,67;23.875;51,33
G31201;Bisamberg;3.612;2.474;95;2.379;906;38,08;1.473;61,92
G31202;Enzersfeld im Weinviertel;1.369;1.000;57;943;511;54,19;432;45,81
G31203;Ernstbrunn;2.582;1.741;111;1.630;995;61,04;635;38,96
G31204;Großmugl;1.294;894;65;829;492;59,35;337;40,65
G31205;Großrußbach;1.699;1.199;55;1.144;643;56,21;501;43,79
G31206;Hagenbrunn;1.600;1.128;45;1.083;588;54,29;495;45,71
G31207;Harmannsdorf;3.185;2.263;112;2.151;1.114;51,79;1.037;48,21
G31208;Hausleiten;2.915;2.158;108;2.050;1.245;60,73;805;39,27
G31213;Korneuburg;9.359;6.271;221;6.050;2.734;45,19;3.316;54,81
G31214;Langenzersdorf;6.394;4.371;146;4.225;1.782;42,18;2.443;57,82
G31215;Leitzersdorf;983;720;44;676;397;58,73;279;41,27
G31216;Leobendorf;3.842;2.637;105;2.532;1.151;45,46;1.381;54,54
G31224;Rußbach;1.120;790;52;738;477;64,63;261;35,37
G31226;Sierndorf;3.069;2.155;122;2.033;1.165;57,3;868;42,7
G31227;Spillern;1.686;1.186;36;1.150;550;47,83;600;52,17
G31228;Stetteldorf am Wagram;843;624;39;585;367;62,74;218;37,26
G31229;Stetten;1.059;740;33;707;363;51,34;344;48,66
G31230;Stockerau;12.498;8.414;317;8.097;3.982;49,18;4.115;50,82
G31234;Niederhollabrunn;1.216;861;51;810;471;58,15;339;41,85
G31299;Wahlkarten - Korneuburg;0;6.954;253;6.701;2.705;40,37;3.996;59,63
G31300;Krems(Land);46.154;37.844;1.978;35.866;19.604;54,66;16.262;45,34
G31301;Aggsbach;569;375;22;353;190;53,82;163;46,18
G31302;Albrechtsberg an der Großen Krems;872;639;58;581;350;60,24;231;39,76
G31303;Bergern im Dunkelsteinerwald;1.038;741;51;690;422;61,16;268;38,84
G31304;Dürnstein;726;528;53;475;229;48,21;246;51,79
G31308;Grafenegg;2.448;1.824;91;1.733;937;54,07;796;45,93
G31309;Furth bei Göttweig;2.346;1.653;92;1.561;719;46,06;842;53,94
G31310;Gedersdorf;1.740;1.322;60;1.262;763;60,46;499;39,54
G31311;Gföhl;3.111;2.215;129;2.086;1.331;63,81;755;36,19
G31315;Hadersdorf-Kammern;1.614;1.175;46;1.129;620;54,92;509;45,08
G31319;Jaidhof;946;675;42;633;392;61,93;241;38,07
G31321;Krumau am Kamp;643;463;31;432;303;70,14;129;29,86
G31322;Langenlois;6.128;4.243;209;4.034;2.225;55,16;1.809;44,84
G31323;Lengenfeld;1.158;905;53;852;486;57,04;366;42,96
G31324;Lichtenau im Waldviertel;1.714;1.214;73;1.141;812;71,17;329;28,83
G31326;Maria Laach am Jauerling;763;536;47;489;283;57,87;206;42,13
G31327;Mautern an der Donau;2.885;2.014;85;1.929;967;50,13;962;49,87
G31330;Mühldorf;1.158;789;59;730;395;54,11;335;45,89
G31333;Paudorf;2.081;1.506;61;1.445;748;51,76;697;48,24
G31336;Rastenfeld;1.235;901;43;858;604;70,4;254;29,6
G31337;Rohrendorf bei Krems;1.598;1.157;54;1.103;543;49,23;560;50,77
G31338;Rossatz-Arnsdorf;893;631;24;607;278;45,8;329;54,2
G31340;St. Leonhard am Hornerwald;957;700;35;665;436;65,56;229;34,44
G31343;Senftenberg;1.585;1.084;51;1.033;542;52,47;491;47,53
G31344;Spitz;1.353;994;69;925;536;57,95;389;42,05
G31346;Straß im Straßertale;1.277;973;47;926;483;52,16;443;47,84
G31347;Stratzing;701;512;23;489;253;51,74;236;48,26
G31350;Weinzierl am Walde;1.069;753;52;701;540;77,03;161;22,97
G31351;Weißenkirchen in der Wachau;1.215;881;64;817;356;43,57;461;56,43
G31355;Schönberg am Kamp;1.544;1.161;50;1.111;609;54,82;502;45,18
G31356;Droß;787;610;26;584;318;54,45;266;45,55
G31399;Wahlkarten - Krems(Land);0;4.670;178;4.492;1.934;43,05;2.558;56,95
G31400;Lilienfeld;20.484;16.466;920;15.546;8.533;54,89;7.013;45,11
G31401;Annaberg;448;278;18;260;140;53,85;120;46,15
G31402;Eschenau;1.054;721;44;677;417;61,6;260;38,4
G31403;Hainfeld;2.926;1.985;72;1.913;1.119;58,49;794;41,51
G31404;Hohenberg;1.234;849;54;795;412;51,82;383;48,18
G31405;Kaumberg;816;578;39;539;335;62,15;204;37,85
G31406;Kleinzell;683;488;33;455;338;74,29;117;25,71
G31407;Lilienfeld;2.085;1.402;64;1.338;665;49,7;673;50,3
G31408;Mitterbach am Erlaufsee;415;299;23;276;174;63,04;102;36,96
G31409;Ramsau;632;448;18;430;269;62,56;161;37,44
G31410;Rohrbach an der Gölsen;1.275;938;67;871;466;53,5;405;46,5
G31411;St. Aegyd am Neuwalde;1.625;1.030;83;947;552;58,29;395;41,71
G31412;St. Veit an der Gölsen;3.141;2.287;157;2.130;1.185;55,63;945;44,37
G31413;Traisen;2.547;1.712;72;1.640;876;53,41;764;46,59
G31414;Türnitz;1.603;1.094;80;1.014;627;61,83;387;38,17
G31499;Wahlkarten - Lilienfeld;0;2.357;96;2.261;958;42,37;1.303;57,63
G31500;Melk;61.717;48.600;2.602;45.998;26.359;57,3;19.639;42,7
G31502;Artstetten-Pöbring;975;661;43;618;376;60,84;242;39,16
G31503;Bergland;1.517;1.043;67;976;633;64,86;343;35,14
G31504;Bischofstetten;970;730;43;687;414;60,26;273;39,74
G31505;Blindenmarkt;1.963;1.372;55;1.317;904;68,64;413;31,36
G31506;Dorfstetten;474;333;30;303;218;71,95;85;28,05
G31507;Dunkelsteinerwald;1.929;1.365;80;1.285;874;68,02;411;31,98
G31508;Erlauf;847;619;33;586;340;58,02;246;41,98
G31509;Golling an der Erlauf;1.190;813;33;780;484;62,05;296;37,95
G31511;Hofamt Priel;1.392;962;67;895;492;54,97;403;45,03
G31513;Hürm;1.454;1.015;83;932;619;66,42;313;33,58
G31514;Kilb;2.064;1.411;73;1.338;792;59,19;546;40,81
G31515;Kirnberg an der Mank;845;662;37;625;392;62,72;233;37,28
G31516;Klein-Pöchlarn;817;558;26;532;279;52,44;253;47,56
G31517;Krummnußbaum;1.199;770;30;740;375;50,68;365;49,32
G31519;Leiben;1.109;740;42;698;427;61,17;271;38,83
G31520;Loosdorf;3.058;1.999;107;1.892;1.083;57,24;809;42,76
G31521;Mank;2.545;1.788;96;1.692;868;51,3;824;48,7
G31522;Marbach an der Donau;1.322;861;39;822;518;63,02;304;36,98
G31523;Maria Taferl;711;522;22;500;298;59,6;202;40,4
G31524;Melk;4.055;2.707;120;2.587;1.307;50,52;1.280;49,48
G31525;Münichreith-Laimbach;1.362;933;58;875;622;71,09;253;28,91
G31527;Neumarkt an der Ybbs;1.534;1.021;41;980;600;61,22;380;38,78
G31528;Nöchling;843;602;41;561;314;55,97;247;44,03
G31530;Persenbeug-Gottsdorf;1.830;1.130;65;1.065;565;53,05;500;46,95
G31531;Petzenkirchen;1.006;682;33;649;395;60,86;254;39,14
G31533;Pöchlarn;3.030;1.805;95;1.710;931;54,44;779;45,56
G31534;Pöggstall;2.017;1.333;70;1.263;872;69,04;391;30,96
G31535;Raxendorf;885;621;51;570;387;67,89;183;32,11
G31537;Ruprechtshofen;1.823;1.367;87;1.280;813;63,52;467;36,48
G31539;St. Leonhard am Forst;2.501;1.709;90;1.619;1.042;64,36;577;35,64
G31540;St. Martin-Karlsbach;1.398;1.021;65;956;557;58,26;399;41,74
G31541;St. Oswald;888;553;61;492;298;60,57;194;39,43
G31542;Schönbühel-Aggsbach;844;578;33;545;277;50,83;268;49,17
G31543;Schollach;785;561;32;529;311;58,79;218;41,21
G31546;Weiten;895;552;36;516;336;65,12;180;34,88
G31549;Ybbs an der Donau;4.306;2.773;121;2.652;1.420;53,54;1.232;46,46
G31550;Zelking-Matzleinsdorf;1.028;749;43;706;362;51,27;344;48,73
G31551;Texingtal;1.267;922;68;854;457;53,51;397;46,49
G31552;Yspertal;1.625;1.060;55;1.005;648;64,48;357;35,52
G31553;Emmersdorf an der Donau;1.414;917;55;862;473;54,87;389;45,13
G31599;Wahlkarten - Melk;0;6.780;276;6.504;2.986;45,91;3.518;54,09
G31600;Mistelbach;60.680;48.959;2.672;46.287;26.681;57,64;19.606;42,36
G31601;Altlichtenwarth;627;411;30;381;266;69,82;115;30,18
G31603;Asparn an der Zaya;1.432;1.062;66;996;666;66,87;330;33,13
G31604;Bernhardsthal;1.359;970;54;916;601;65,61;315;34,39
G31605;Bockfließ;1.078;823;52;771;400;51,88;371;48,12
G31606;Drasenhofen;872;646;40;606;422;69,64;184;30,36
G31608;Falkenstein;391;298;17;281;121;43,06;160;56,94
G31609;Fallbach;689;474;29;445;232;52,13;213;47,87
G31611;Gaubitsch;731;546;63;483;330;68,32;153;31,68
G31612;Gaweinstal;3.036;2.055;98;1.957;1.246;63,67;711;36,33
G31613;Gnadendorf;949;651;60;591;371;62,77;220;37,23
G31614;Großebersdorf;1.803;1.299;64;1.235;753;60,97;482;39,03
G31615;Großengersdorf;1.131;863;54;809;461;56,98;348;43,02
G31616;Großharras;957;649;39;610;384;62,95;226;37,05
G31617;Großkrut;1.325;957;63;894;580;64,88;314;35,12
G31620;Hausbrunn;702;492;18;474;331;69,83;143;30,17
G31621;Herrnbaumgarten;783;572;36;536;356;66,42;180;33,58
G31622;Hochleithen;945;705;47;658;388;58,97;270;41,03
G31627;Kreuttal;1.170;819;50;769;386;50,2;383;49,8
G31628;Kreuzstetten;1.305;924;38;886;451;50,9;435;49,1
G31629;Laa an der Thaya;5.109;3.591;185;3.406;2.022;59,37;1.384;40,63
G31630;Ladendorf;1.862;1.294;79;1.215;696;57,28;519;42,72
G31633;Mistelbach;9.125;6.138;297;5.841;3.246;55,57;2.595;44,43
G31634;Neudorf bei Staatz;1.161;809;55;754;526;69,76;228;30,24
G31636;Niederleis;724;503;26;477;276;57,86;201;42,14
G31642;Pillichsdorf;944;726;36;690;345;50;345;50
G31644;Poysdorf;4.403;3.038;205;2.833;1.809;63,85;1.024;36,15
G31645;Rabensburg;921;571;27;544;379;69,67;165;30,33
G31646;Schrattenberg;666;466;21;445;336;75,51;109;24,49
G31649;Staatz;1.664;1.176;97;1.079;695;64,41;384;35,59
G31650;Stronsdorf;1.365;996;75;921;644;69,92;277;30,08
G31651;Ulrichskirchen-Schleinbach;2.083;1.543;77;1.466;742;50,61;724;49,39
G31652;Unterstinkenbrunn;474;334;23;311;212;68,17;99;31,83
G31653;Wildendürnbach;1.284;914;67;847;572;67,53;275;32,47
G31654;Wilfersdorf;1.729;1.268;69;1.199;784;65,39;415;34,61
G31655;Wolkersdorf im Weinviertel;5.387;3.928;184;3.744;1.595;42,6;2.149;57,4
G31658;Ottenthal;494;344;21;323;229;70,9;94;29,1
G31699;Wahlkarten - Mistelbach;0;6.104;210;5.894;2.828;47,98;3.066;52,02
G31700;Mödling;88.994;71.988;2.255;69.733;27.254;39,08;42.479;60,92
G31701;Achau;1.069;723;21;702;330;47,01;372;52,99
G31702;Biedermannsdorf;2.322;1.563;60;1.503;655;43,58;848;56,42
G31703;Breitenfurt bei Wien;4.662;3.269;103;3.166;1.246;39,36;1.920;60,64
G31704;Brunn am Gebirge;8.604;5.932;192;5.740;2.274;39,62;3.466;60,38
G31706;Gaaden;1.261;938;21;917;333;36,31;584;63,69
G31707;Gießhübl;1.683;1.190;43;1.147;393;34,26;754;65,74
G31709;Gumpoldskirchen;2.909;2.050;65;1.985;797;40,15;1.188;59,85
G31710;Guntramsdorf;6.903;4.941;176;4.765;2.196;46,09;2.569;53,91
G31711;Hennersdorf;1.250;904;22;882;442;50,11;440;49,89
G31712;Hinterbrühl;2.948;1.991;64;1.927;712;36,95;1.215;63,05
G31713;Kaltenleutgeben;2.547;1.873;58;1.815;772;42,53;1.043;57,47
G31714;Laab im Walde;915;685;23;662;208;31,42;454;68,58
G31715;Laxenburg;2.157;1.421;39;1.382;553;40,01;829;59,99
G31716;Maria Enzersdorf;6.522;4.177;126;4.051;1.360;33,57;2.691;66,43
G31717;Mödling;15.036;9.614;304;9.310;3.372;36,22;5.938;63,78
