Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  LPS;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
2101;Distretto di Bellinzona;TI;0; 30,7 ; 19,5 ; 19,3 ; 7,3 ;;;;;; 1,5 ; 6,5 ;;;; 11,9 ;; 3,3 ;54,5  
2102;Distretto di Blenio;TI;0; 25,0 ; 26,8 ; 17,5 ; 9,9 ;;;;;; 0,7 ; 3,3 ;;;; 13,1 ;; 3,7 ;50,5  
2103;Distretto di Leventina;TI;0; 25,0 ; 32,1 ; 14,7 ; 7,2 ;;;;;; 0,9 ; 3,5 ;;;; 12,9 ;; 3,7 ;59,6  
2104;Distretto di Locarno;TI;0; 25,5 ; 19,7 ; 16,5 ; 11,1 ;;;;;; 1,9 ; 7,0 ;;;; 14,1 ;; 4,3 ;50,8  
2105;Distretto di Lugano;TI;0; 23,7 ; 17,0 ; 16,2 ; 11,0 ;;;;;; 0,9 ; 7,1 ;;;; 20,9 ;; 3,2 ;53,8  
2106;Distretto di Mendrisio;TI;0; 22,3 ; 23,6 ; 15,5 ; 8,0 ;;;;;; 1,1 ; 7,3 ;;;; 20,2 ;; 2,1 ;59,8  
2107;Distretto di Riviera;TI;0; 25,2 ; 22,1 ; 18,0 ; 8,3 ;;;;;; 1,1 ; 5,6 ;;;; 15,9 ;; 3,8 ;52,9  
2108;Distretto di Vallemaggia;TI;0; 22,7 ; 24,6 ; 14,9 ; 8,4 ;;;;;; 1,6 ; 5,8 ;;;; 12,5 ;; 9,4 ;53,9  
2221;District d'Aigle;VD;0; 20,7 ; 3,1 ; 22,8 ; 26,4 ; 7,2 ; 0,9 ;; 3,1 ; 0,8 ; 2,0 ; 9,1 ; 1,0 ; 0,1 ; 0,9 ;; 1,1 ; 0,7 ;42,3  
2222;District de la Broye-Vully;VD;0; 20,0 ; 2,8 ; 21,5 ; 29,7 ; 6,2 ; 0,9 ;; 4,2 ; 1,3 ; 1,3 ; 8,5 ; 1,0 ; 0,1 ; 1,4 ;; 0,4 ; 0,9 ;40,3  
2223;District du Gros-de-Vaud;VD;0; 14,9 ; 6,9 ; 21,5 ; 29,9 ; 3,7 ; 0,9 ;; 5,5 ; 0,9 ; 1,4 ; 10,8 ; 1,1 ; 0,0 ; 0,9 ;; 0,5 ; 0,9 ;43,0  
2224;District du Jura-Nord vaudois;VD;0; 15,1 ; 2,8 ; 26,9 ; 26,0 ; 4,8 ; 1,4 ;; 4,0 ; 0,6 ; 1,9 ; 10,3 ; 1,5 ; 0,1 ; 2,8 ;; 0,8 ; 1,1 ;41,2  
2225;District de Lausanne;VD;0; 13,6 ; 4,6 ; 30,6 ; 17,3 ; 3,6 ; 0,8 ;; 4,9 ; 0,6 ; 3,5 ; 14,6 ; 3,6 ; 0,1 ; 0,6 ;; 0,6 ; 1,1 ;41,2  
2226;District de Lavaux-Oron;VD;0; 19,7 ; 4,4 ; 22,1 ; 20,1 ; 8,9 ; 0,7 ;; 5,8 ; 0,8 ; 1,6 ; 12,3 ; 1,7 ; 0,1 ; 0,7 ;; 0,3 ; 0,9 ;47,8  
2227;District de Morges;VD;0; 16,9 ; 4,7 ; 24,4 ; 23,8 ; 5,9 ; 1,0 ;; 5,8 ; 0,9 ; 1,4 ; 11,3 ; 1,3 ; 0,1 ; 1,0 ;; 0,3 ; 1,1 ;44,8  
2228;District de Nyon;VD;0; 16,4 ; 5,9 ; 20,1 ; 24,9 ; 7,4 ; 1,5 ;; 7,2 ; 1,0 ; 1,4 ; 10,2 ; 1,1 ; 0,1 ; 0,9 ;; 0,6 ; 1,2 ;41,7  
2229;District de l'Ouest lausannois;VD;0; 15,0 ; 4,9 ; 29,1 ; 22,3 ; 4,0 ; 0,9 ;; 3,9 ; 0,7 ; 3,6 ; 10,8 ; 1,8 ; 0,1 ; 0,9 ;; 0,5 ; 1,4 ;37,8  
