Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
1301;Bezirk Arlesheim;BL;1; 16,9 ; 10,8 ; 23,9 ; 26,9 ; 2,0 ;; 3,1 ; 3,0 ;; 12,0 ;;; 0,3 ;;; 0,9 ;46,6  
1302;Bezirk Laufen;BL;1; 13,2 ; 21,2 ; 15,9 ; 34,8 ; 1,2 ;; 1,7 ; 2,5 ;; 8,8 ;;; 0,2 ;;; 0,4 ;45,2  
1303;Bezirk Liestal;BL;1; 15,4 ; 5,2 ; 23,2 ; 30,6 ; 2,5 ;; 2,7 ; 2,7 ;; 16,4 ;;; 0,6 ;;; 0,7 ;46,0  
1304;Bezirk Sissach;BL;1; 14,6 ; 3,7 ; 18,8 ; 33,3 ; 2,3 ;; 2,0 ; 2,4 ;; 21,9 ;;; 0,5 ;;; 0,6 ;49,7  
1305;Bezirk Waldenburg;BL;1; 12,6 ; 4,6 ; 18,3 ; 39,3 ; 3,4 ;; 2,2 ; 3,0 ;; 14,8 ;;; 1,0 ;;; 0,6 ;46,6  
1401;Bezirk Oberklettgau;SH;1; 12,1 ;; 25,0 ; 46,5 ;;;;;; 2,6 ;;; 10,9 ;;; 2,9 ;68,0  
1402;Bezirk Reiat;SH;1; 14,1 ;; 22,4 ; 52,5 ;;;;;; 3,1 ;;; 5,8 ;;; 2,1 ;68,6  
1403;Bezirk Schaffhausen;SH;1; 12,7 ;; 32,1 ; 42,1 ;;;;;; 3,9 ;;; 3,5 ;;; 5,6 ;60,5  
1404;Bezirk Schleitheim;SH;1; 11,8 ;; 20,8 ; 49,3 ;;;;;; 1,9 ;;; 13,1 ;;; 3,1 ;64,6  
1405;Bezirk Stein;SH;1; 11,1 ;; 25,4 ; 53,9 ;;;;;; 3,2 ;;; 3,4 ;;; 2,9 ;61,7  
1406;Bezirk Unterklettgau;SH;1; 15,7 ;; 23,0 ; 48,4 ;;;;;; 1,4 ;;; 9,7 ;;; 1,8 ;68,1  
1501;Bezirk Hinterland;AR;1; 28,9 ;; 23,2 ; 46,7 ;;;;;;;;;;;; 1,2 ;44,7  
1502;Bezirk Mittelland;AR;1; 42,8 ;; 30,3 ; 24,6 ;;;;;;;;;;;; 2,3 ;53,7  
1503;Bezirk Vorderland;AR;1; 27,1 ;; 35,7 ; 35,2 ;;;;;;;;;;;; 1,9 ;42,8  
1600;Kanton Appenzell Innerrhoden;AI;1;; 76,5 ; 17,9 ;;;;;;;;;;;;; 5,6 ;37,4  
9160;AI-Ausland-CH;AI;1;; 62,8 ; 32,6 ;;;;;;;;;;;;; 4,7 ;14,1  
1721;Wahlkreis St. Gallen;SG;1; 14,4 ; 15,7 ; 21,3 ; 27,2 ; 1,8 ;; 5,8 ; 3,6 ;; 7,1 ;; 0,3 ; 0,6 ;;; 2,2 ;46,4  
1722;Wahlkreis Rorschach;SG;1; 15,6 ; 17,5 ; 15,0 ; 35,6 ; 1,5 ;; 4,2 ; 3,0 ;; 4,5 ;; 0,3 ; 0,8 ;;; 2,1 ;45,2  
1723;Wahlkreis Rheintal;SG;1; 13,4 ; 19,2 ; 8,9 ; 43,0 ; 1,2 ;; 5,1 ; 2,6 ;; 3,9 ;; 0,2 ; 0,8 ;;; 1,6 ;45,9  
1724;Wahlkreis Werdenberg;SG;1; 16,3 ; 11,0 ; 14,7 ; 37,1 ; 4,3 ;; 4,7 ; 4,4 ;; 4,1 ;; 0,3 ; 1,3 ;;; 1,7 ;46,4  
1725;Wahlkreis Sarganserland;SG;1; 13,4 ; 18,2 ; 12,1 ; 39,6 ; 0,9 ;; 5,9 ; 4,2 ;; 3,1 ;; 0,3 ; 0,5 ;;; 1,8 ;47,6  
1726;Wahlkreis See-Gaster;SG;1; 13,3 ; 16,7 ; 12,0 ; 36,9 ; 1,1 ;; 5,2 ; 4,1 ;; 7,4 ;; 0,2 ; 1,2 ;;; 1,9 ;44,6  
1727;Wahlkreis Toggenburg;SG;1; 13,9 ; 17,8 ; 9,9 ; 41,0 ; 1,9 ;; 3,2 ; 3,2 ;; 5,0 ;; 0,3 ; 1,8 ;;; 1,9 ;51,1  
1728;Wahlkreis Wil;SG;1; 15,0 ; 16,1 ; 12,5 ; 36,5 ; 2,0 ;; 4,0 ; 4,1 ;; 6,6 ;; 0,3 ; 0,9 ;;; 2,0 ;48,3  
9170;SG-Ausland-CH;SG;1; 13,6 ; 11,8 ; 17,8 ; 30,8 ; 2,1 ;; 6,2 ; 3,1 ;; 11,2 ;; 0,5 ; 0,9 ;;; 2,0 ;27,9  
1821;Bezirk Albula;GR;1; 14,8 ; 25,2 ; 12,8 ; 25,3 ;;; 8,1 ; 13,7 ;;;;;;;; 0,2 ;42,1  
1822;Distretto di Bernina;GR;1; 6,9 ; 27,6 ; 16,5 ; 41,1 ;;; 3,1 ; 4,7 ;;;;;;;; 0,1 ;44,7  
1823;Bezirk Hinterrhein;GR;1; 14,0 ; 10,1 ; 19,0 ; 27,4 ;;; 7,6 ; 21,7 ;;;;;;;; 0,2 ;48,9  
1824;Bezirk Imboden;GR;1; 13,3 ; 16,4 ; 19,9 ; 29,4 ;;; 8,2 ; 12,8 ;;;;;;;; 0,1 ;48,1  
1825;Bezirk Inn;GR;1; 10,8 ; 10,1 ; 19,8 ; 29,7 ;;; 6,8 ; 22,7 ;;;;;;;; 0,1 ;42,1  
1826;Bezirk Landquart;GR;1; 11,6 ; 10,4 ; 18,2 ; 34,3 ;;; 10,0 ; 15,4 ;;;;;;;; 0,1 ;45,7  
1827;Bezirk Maloja / Distretto di Maloggia;GR;1; 25,1 ; 7,7 ; 14,3 ; 27,6 ;;; 6,8 ; 18,4 ;;;;;;;; 0,1 ;47,2  
1828;Distretto di Moesa;GR;1; 11,5 ; 17,7 ; 23,5 ; 39,0 ;;; 2,1 ; 6,2 ;;;;;;;; 0,0 ;35,7  
